uid,number
XwUFq3uh4dVWZ7GVmriKeFCAbd42,3
qbwMj9LH2CR076Z9x9gghDLU6s73,2
JoqOhGJIFjWgrsuy4HxVDJj8huL2,1
s0OoQ1VHNgchn0wVrT1w0FLjZpj2,2
DEFE8Qc255ZFDJ0tYwl3IFAlPiJ2,1
ExghSD0wKHZiDdPuPndYXVvrNxt2,2
s6DIPUvbQLTE5xF3cV8y50p4QmO2,2
tn2tqseNcETYSoGsXfFYJChVBUy2,2
QbZsBBVd7ncLWfcACiE9OQP91r83,2
pa5NNfVK8PT9Km084ILCHtRP6X63,2
F0017FcLo0NEIpGP2cgzBkHfQnO2,2
ptXixYxP5Aa1pcNukPAfKIRDGcf2,2
KkrGhLdl1IUYM6Fws2V0e1QHM9c2,3
7Urh6wjyjWbZ3PYdvFbl2HJdDuy2,2
JamQro2tlMVza7LcpZBeauaRnhD2,6
5nn0wUnadshWP4Ejm80C9FNlaaE2,4
RfN3QzCCK3b22fML97AgQGqNfuk2,2
p4pzS5tayCM6cS8cutoPNLzcSEb2,2
OO8CO45KGAWu1BknOEdcVozWsnY2,3
HzxmAcDXZRMm0mqMjc7qd8R0u1x2,1
JQpbbkswM0WuVKVop5mUYLf4Si23,6
vhka1NqRRkWci0Bwh9j52GmqkvS2,5
xq32KG5JiDdk25pzcmrj2agi2HC3,2
1EhRrRkUNiO7NXLAXBaCiABV8iG3,2
QFVDBnD9mKS2ggfnpSql8Ix8KYn2,2
ZHUxRwm2pugZUdOCe5AoK22Z70a2,3
L305NBUIzLOKoQKuDQq0xBVNiSd2,2
QhiERqfhfRdMxSNhVmSqnyBKP7C3,2
iFJKxWMxt0NffpiNwPIxPlraq6c2,1
NkQUxJsdgsRP2D1MRkzKJPw7g1C3,2
cQjCpNHffgNHb3vXd5LC8i3Cc4u1,2
H28nePeb42cB3iOSIDIqqUTSc8N2,2
UUfDB7lw4GXPShwraxmaNtfe7Vy1,2
29n7DqRZRtZaFTIIYwBN1wOkvSC3,4
Y97FeZpJabY8EKJvft51HyUIgnr2,3
YpnrwiXfYVYQUecLtzqXQ5ARtDi2,2
tsdg9Umynigw2ChMRnZjRR8xs9F2,3
Gwh0MZajHlZoV9Ajd2PaMcyu5BV2,8
qwOgZ4kkkva0jcRVWhJhUQz6K7D3,1
SZBbQqSEFjVV4eZJH9ShSNkvmuL2,2
Zksy4LbFcOaCnSN46A8VIPaTyLH3,3
SvUCyG3av4ZHAGzirlfQoYZdZjR2,3
p28AwdPTTQRO05UtPvcQ858wCZM2,4
sgWJvwwaGVPXYmhV06fCGLdVo7f1,2
akWafneixSMVkLr5ZLHjO1fAACk1,6
56qST2r8hvM0LA1sQednMkgrIXv1,2
WsAETDaNaZPFZ8Xoz3PYzPDSStI3,4
x3MvSP9x7yT75FVoTlevB9KXtOM2,3
KWMB7fyqeyUKB010mRvxw9uKzm03,1
8T5pEBL2vROCRUHarFXVUozwtNw2,2
991MkiHdW7eW8lLbc7hVorKNST02,4
7XP1Ww4HhFaVVS9NCsNUHH5C5EG3,2
TpwLHxIpEdYEsY1tBqYwosCjJEC3,2
91mntEk55pZzFocknF11tzMgLCS2,2
bwbZe5iw0NVAB36qjGJeniJtZrk1,6
acuNzljEW2agaTzbvHFaAOdFcin1,3
7ZSAYUKihTRC3exSsvrjIP4vwKg1,2
pOEUUkZBraTIhMnF3ulcoJ6k3Tr2,2
aVCU34tRyQPu2AWuUNoqEs8mRTe2,3
pxYtdf30HVQZQrNsXeQV8UeGkVo1,2
Lb2cYlNPRTQwsyGdg0pOV1P7ERf2,1
8Sr8roHGzqQA2LxRhoRPHBo1qxI3,37
29aQozTvzuQ5cTq81ZTJG3Xl8rv2,4
Uf2Ue9gBerPKWO4E9byf4vciP8y2,8
TV33TRvRb8T4zdIPbLQQix4R2I23,3
dGin5JLhjXUCQp5YbGt5mNpygsE2,3
zsDWNjxBTiPbRsoB1wTOsOUeXou2,3
ot8GRFvnQNfIcmMtL7qym8LHU7C3,2
8O5yMR1vLyXzQcO0uFtd8vZCNnR2,1
RCdeJlfhG6OBD4aXtjbEVhzZQMe2,5
DIfHh554ovPUQOLM19zl7GwC0WF2,2
F14PXs6X2XTobgQTcM5VnZegdX82,1
IVRyKh0UiDf4k8JNrrHGo2vZk1w2,1
h30eMJGDzkWJB7q1Psr4rIROeKE3,3
vqZV53aNuYSq56hdIV5J6LR284q1,2
hHRclMysJJet5nNUwrrUz7j9Q8r2,2
8uwHF3Tl1ge3hHSxVrA5jEsQlc93,2
WBeIVP5490hVQNINySzSvI4uW9G2,3
wVKj6MPNpJYwyJfePgcgon6bIB22,4
XJ9X8d3SfsZxJetScDglbMoNK312,3
dyIuZxj34lYo4FKbifRlctn0Mru1,3
9UdnQngqDLOVice4RnuEy70wlE43,2
CyCaQ7grL0fGi6rcy25Ep3dbv9E3,4
FjFo9EbcvcRmUKv7DBfF1dYcrYG3,2
xyt3yOThsMhPKppFmUJGWY0sT5F2,3
Y3ADqDbOy3UVlxu88KA27BhTxJZ2,2
waoPNr4NHEa3J8pM6AphyaUwmWF2,2
WSlAtdL6mkckAjItC7kJwclohfE2,1
ttbcnItjYIO6MKR1bgxbaQnpAVz2,2
87yNjCIq5nO5EKlsf6or82V2Nxl1,1
PwqX23kyxfPkju5RNvL3FZfvZi63,6
ifKyMtPTLJRyDuwxtJhtE8YuCkt2,2
kQ3DJQXsRYZgSK6RIgWu7EaM88g2,7
JYZVmi9bpoTOYs9Zv1ytB7R3MG93,2
BqewLK8eQsWBrDgnNUESEaCNlE22,8
x9tHYqHsMOV8jRmmUbFpP1mwBCp2,4
YvpGUuIWF9TisTrvzFDGX5boAti2,2
15MZaaqiRXcxDEJ9jahlUsvL3hE3,4
rfDmodVSHwdg2Til6INfJg8lSCd2,2
p3Mu4bN4XMQvSAjAGWcJpYhWazg2,2
rF746R649jSKROshqipNlCsL5LQ2,5
Y7JteRFGDTaIRLtBWESkpBxT5s72,1
TXA9r6IQlIZFzwmV7oNQjC9v6GT2,6
HZxpQ300pxS95IoBonSoZtgcsEp2,3
cOQqQy30KiTMZmKNCuyYU6Irnq33,2
f5jZOmd6I6MaZQ9s1Kdsjhgspn42,2
mdrADWJyHAMqEt8SDeyayJsd9Xh2,3
2CJCIYY3TlPgY4xZmVyIJDeVa7g2,2
hBMdtMeK30NIH3A8v3DTURyXeaE3,4
a9rmfwLH5LV0ACEF0rMT6lDVAPp2,2
9OQ6yJwrRsMjZ3pCTXbd05cMad93,2
A8otynyF84TtEBUXOyPQb0g71ps1,5
Nya02e1VeiOZK8eXz2zsz61TAWl2,4
neOatNEojIgiO6LArpa04LufcZG3,3
nD9B2BAyX1ScfiGXHABpvd6UaVI2,7
xPzhHLmls5OcyQd3HZpKFRRZMRl2,5
TZ4bO2tE3oSnoC0MipclzyAtKc23,2
A7kgtXw3MXM0LFD92IAIaULHXi73,5
nSIBbtuawwVKaNx1xMJG8Zpqo8J3,1
st88pmKS7bcv1u5M4BLG8wMAOwD3,2
YLOikkvfQhSxGAFDuEIXPLJIwet1,3
hOMSuH1M8DN4PL8Z7jiPldZ2GaC2,2
XbY4fGchDWacXDgEPw9RU4njBVh2,2
BK2kKN6TlZNp8BRDVYvqZKLoYAy2,3
MJO01A2LhaMfK4jwIqPstc1MdWC3,2
JNGILMxu6nVoc77jTAXR9zVPnaf2,2
5tOxEexz6gbcp0vtulX6AZ7bT4q2,2
yqBlg4opnBYqyf5r8bbS5GPLjJt2,3
TmE718KjmTRaYdQzy36X5ALrZWN2,1
VRzyifS2WrWf8r97H6ZA6Lyg37A3,2
5ceNP3LVmtS51sqYj8e67u99OVx2,2
OmFi6qqYMwaRWWVZqVmaMhTSkbZ2,1
znjInojFDtgx6P07r8YeMSq5FOS2,2
K1HhxZSawrhFEVD7ijKKXr5s9P22,3
8AjlGjBsLbNlB2aJFxutBr9s9zF2,2
zziVqtMOCmZoS5BJwCKgKBocjHp2,2
XGrbOJSVQoMKrXdjDcKoe823l282,2
A2uZBjJdR3a0RNZlRHB43IIWI923,2
JLZx2DQkCSQwHnKkuZX2YiG2kxA3,2
c9Lc61H9bvSFCN2K1rO4pbb8MEO2,2
4joIYqTya2Q8dSFlhI29nylJy462,2
zKjcSkM5p6hR16k0ayl8xjhuezY2,3
rGLYJNkcxtXaKojvQu0YqGCnM9B3,5
MkcS7886YfTsyp44vFkKXLzWYx03,2
u8On6Y4Uz2hWDDfkryr3Em6QeQB3,2
VfLN6PTBLYOBCP6LoWYAjTczsj42,3
SpEjllzOW7hh5FPdJmwcUBx91Tj1,4
ULsqk4qsrdQCUciGk7FbHMPaUwz2,3
rXpxV4FOMVXxqHzlp9LHWcto3Wg1,3
wC67ftoADKTK4w9cPC52CLz7NSG2,3
m8WkdJ1TyuRMRcXfrkrTxzBVH8y2,4
KFDnEO3kcNde8LGz3RqYuW0YOsm2,2
UgG53Y2gV0WKTqJ3GJimlHHznEy1,5
f7rETBHiK0Zth92L3eEGxGHtPmf1,4
GUPAdNjpnwMypAWyTK5Xnx2IYVS2,2
YH3K6BLAdjZy06CeMsuq5QWV1Nl2,1
WDtq8KJ3sbOOKDn1fHxP7cUmzC63,2
MrkfR3D1FwUOT65jIBtQlErBWNk2,3
i8CjPL3r4mXl4lYunsOVofBySAy2,2
jX5lOkscODNnvokPw7HgZxSTIwb2,5
x3JqidCXxMZRtwW3yo3pttlDvlm1,5
uOJ0yYCQjTVxhnOvZAKj4dHNZum2,2
pVZPSSVzqjc1LrEufcv765A8Iy82,2
o0DEdXx5XrUoWpbPvGyA7OgHNzD2,2
n2SbD9HPStXSKS4KhQhDaVKIjHh1,2
T2N3IRMBxrc3OH43Zjy6tCcArRc2,6
oxoch8WGbOYu3p07brzANwrTLJt2,2
tynrSwRGxub33f5hPKz4ysAS1Ot1,2
3WtGiWwPszZPsuv9EA1tkS7TybH2,5
FIwwcvUwiUO191vJMpIVzLElEIo2,5
e8UAG9yn7TSfzBGNL4sxuW1tFYv2,2
IEO4xhqqZLcofY2oFahbqc8fvKE3,3
MlAOxohUAXYsvs92Lqzg7MjhrTt2,2
sVnMrcD0lBVGtXyJpyiDhua2EZx1,6
g7jgoyLvcsVlAlk6hUdIezFSnQp2,3
HK6s1X9NmfRgGmdeUcMhsw8krSV2,6
qMs28NmQG8PzHzDyLPyNqa21iOe2,2
8wljcKTisTe56oIsmRXXx4yq9un1,2
xOS9xsAzdDWIOSqNelXJuBCg4MK2,2
pD5LkNOdPUNgmIAMuwOuD80Y7Nc2,5
V12iY7ZxoLRTNoNWZA19QNwnU7J2,2
ZwD1OU9K7rfjFCFqdUxKxpmqy643,3
38Arc1SFx9VSyd2ZuOQT4wbAOZD2,2
156qfnMfCuf4LTWYmBNC5ahKguv2,6
2QTKkjEI5PeaiuxTOuPt5k4jB3n2,2
TRFgtEbRuOONSMPelNHQBlKQhCv1,2
EZayhS8YmlULI2vQdXPDKOXL7q92,2
VbTkgG0XnZePC2Dd0dZFgAxrqKp1,2
z1KEK3yWm1QpJszq6OhGYdZiWtw2,2
TcgBsRedt7cViclhsJ9ZA6tj0z93,3
60lv3Cw4fjVPfT5zL9SMsLB5pEn2,2
yIMFfsHBY8XPGtwpBHxAET0Xrf12,2
Jok1Vca1VUOcVqZ9WPVNVNnLMSu1,2
Ubira87SaMY2rHNHEdjSH4KTyj72,2
18P9FiHCQoN2BkFOymF1dzggP0J3,2
lQ3jTmBZPcQ3h9gFT77VhEWL2e13,2
USyQU33zeYVWWjwADxdzHYTVNEs1,2
YBlurb5tg3dBfvMaEpbivXD6qoq1,2
